Paper ID,Publishable,Blended_Score,Decision_Path,Base_Votes,Confidence,Section_Cov_pct,Citations,Figures,NonPub_Phrases,Composite_Score,Keyword_Variety,Recent_Ref_Ratio,Abstract_Len_Norm,Flags,CI_Lo,CI_Hi
P048,0,0.1853,BELOW_THRESH,2/6,HIGH,83.3,0,0,0,0.343,0.5,0.0,0.16,FEW_CITES|NO_FIGS,,
P049,1,0.8166,ENSEMBLE,5/6,HIGH,83.3,0,0,0,0.532,1.0,0.0,0.073,FEW_CITES|NO_FIGS,,
P050,1,0.8238,ENSEMBLE,5/6,HIGH,83.3,0,0,0,0.506,0.5,0.0,0.287,FEW_CITES|NO_FIGS,,
P051,1,0.79,ENSEMBLE,5/6,HIGH,83.3,0,1,0,0.468,0.667,0.25,0.017,FEW_CITES,,
P052,1,0.9138,ENSEMBLE,6/6,HIGH,100.0,0,0,0,0.53,0.833,1.0,0.027,FEW_CITES|NO_FIGS,,
P053,0,0.1631,HARD_VETO,2/6,HIGH,83.3,0,0,2,0.193,0.667,0.0,0.563,FEW_CITES|NO_FIGS|WEAK_PHRASES,,
P054,1,0.9028,ENSEMBLE,6/6,HIGH,83.3,0,2,0,0.572,0.833,0.0,0.077,FEW_CITES,,
P055,0,0.4822,GATE_BLOCKED,3/6,MED,83.3,0,0,0,0.268,0.333,0.0,0.26,FEW_CITES|NO_FIGS,,
P056,0,0.2215,BELOW_THRESH,2/6,MED,83.3,0,0,1,0.267,0.833,0.0,0.067,FEW_CITES|NO_FIGS,,
P057,0,0.4159,GATE_BLOCKED,2/6,LOW⚠,66.7,0,1,1,0.103,0.333,0.0,0.017,FEW_CITES|SHORT|UNCERTAIN,0.2296,0.6131
P058,1,0.9162,ENSEMBLE,5/6,HIGH,66.7,2,0,1,0.467,1.0,1.0,0.183,FEW_CITES|NO_FIGS,,
P059,1,0.9243,ENSEMBLE,6/6,HIGH,66.7,0,0,1,0.358,1.0,0.0,0.2,FEW_CITES|NO_FIGS,,
P060,1,0.8978,ENSEMBLE,5/6,HIGH,66.7,4,6,0,0.657,0.667,0.0,0.363,FEW_CITES,,
P061,1,0.9158,ENSEMBLE,5/6,HIGH,83.3,0,11,1,0.629,0.833,0.0,0.123,FEW_CITES,,
P062,1,0.8642,ENSEMBLE,5/6,HIGH,83.3,7,0,0,0.64,1.0,0.0,0.03,NO_FIGS,,
P063,0,0.574,HARD_VETO,3/6,MED,83.3,0,0,0,0.251,0.333,0.5,0.243,FEW_CITES|NO_FIGS|SHORT,,
P064,1,0.8695,ENSEMBLE,5/6,HIGH,100.0,5,0,0,0.57,0.667,0.0,0.04,NO_FIGS,,
P065,1,0.6165,ENSEMBLE,4/6,HIGH,83.3,0,0,1,0.207,0.667,0.0,0.013,FEW_CITES|NO_FIGS,,
P066,1,0.9139,ENSEMBLE,5/6,HIGH,83.3,7,1,0,0.556,1.0,1.0,0.057,,,
P067,1,0.7775,ENSEMBLE,4/6,HIGH,66.7,4,1,0,0.29,0.333,1.0,0.177,FEW_CITES,,
P068,1,0.6897,ENSEMBLE,5/6,HIGH,83.3,0,0,0,0.581,1.0,0.0,0.46,FEW_CITES|NO_FIGS,,
P069,0,0.3453,BELOW_THRESH,2/6,LOW⚠,100.0,0,0,1,0.509,1.0,1.0,0.51,FEW_CITES|NO_FIGS|UNCERTAIN,0.2749,0.7008
P070,0,0.237,BELOW_THRESH,1/6,MED,83.3,0,0,1,0.268,0.833,0.0,0.02,FEW_CITES|NO_FIGS,,
P071,1,0.7947,ENSEMBLE,5/6,HIGH,83.3,0,2,0,0.39,0.833,0.0,0.133,FEW_CITES,,
P072,0,0.5771,HARD_VETO,4/6,MED,83.3,0,0,1,0.127,0.5,0.0,0.103,FEW_CITES|NO_FIGS|SHORT,,
P073,0,0.0816,BELOW_THRESH,1/6,HIGH,100.0,0,0,1,0.308,0.667,0.0,0.583,FEW_CITES|NO_FIGS,,
P074,1,0.7533,ENSEMBLE,4/6,HIGH,83.3,0,1,0,0.493,0.833,1.0,0.27,FEW_CITES|SHORT,,
P075,1,0.8352,ENSEMBLE,5/6,HIGH,83.3,0,0,0,0.47,0.833,0.0,0.177,FEW_CITES|NO_FIGS,,
P076,0,0.4664,GATE_BLOCKED,2/6,LOW⚠,83.3,0,0,1,0.442,0.833,0.0,0.387,FEW_CITES|NO_FIGS|UNCERTAIN,0.2392,0.7414
P077,0,0.237,BELOW_THRESH,1/6,MED,83.3,0,0,1,0.268,0.833,0.0,0.02,FEW_CITES|NO_FIGS,,
P078,0,0.2381,BELOW_THRESH,2/6,MED,100.0,0,0,0,0.358,0.667,0.0,0.04,FEW_CITES|NO_FIGS,,
P079,0,0.7712,HARD_VETO,5/6,HIGH,33.3,0,0,0,0.109,0.333,0.0,0.077,LOW_STRUCT|FEW_CITES|NO_FIGS|SHORT,,
P080,1,0.6901,ENSEMBLE,4/6,HIGH,100.0,0,11,1,0.466,1.0,0.889,0.01,FEW_CITES,,
P081,0,0.2375,BELOW_THRESH,2/6,MED,83.3,0,0,0,0.478,0.5,0.0,0.927,FEW_CITES|NO_FIGS,,
P082,1,0.8872,ENSEMBLE,6/6,HIGH,83.3,0,1,0,0.362,0.833,1.0,0.123,FEW_CITES|SHORT,,
P083,1,0.7594,ENSEMBLE,4/6,HIGH,100.0,0,1,2,0.232,0.667,0.667,0.187,FEW_CITES|WEAK_PHRASES,,
P084,1,0.8747,ENSEMBLE,5/6,HIGH,83.3,0,0,1,0.267,0.5,0.56,0.09,FEW_CITES|NO_FIGS,,
P085,1,0.8823,ENSEMBLE,6/6,HIGH,66.7,0,4,0,0.513,0.667,0.0,0.02,FEW_CITES,,
P086,0,0.0891,BELOW_THRESH,1/6,HIGH,83.3,0,0,0,0.424,0.667,0.0,0.46,FEW_CITES|NO_FIGS,,
P087,1,0.7744,ENSEMBLE,5/6,HIGH,66.7,0,0,0,0.374,0.833,0.0,0.127,FEW_CITES|NO_FIGS,,
P088,1,0.8766,ENSEMBLE,5/6,HIGH,100.0,5,15,0,0.699,0.833,0.458,0.267,,,
P089,1,0.8982,ENSEMBLE,5/6,HIGH,66.7,2,0,0,0.402,0.833,0.0,0.077,FEW_CITES|NO_FIGS,,
P090,1,0.8381,ENSEMBLE,5/6,HIGH,83.3,0,0,0,0.571,0.833,0.0,0.227,FEW_CITES|NO_FIGS,,
P091,1,0.7435,ENSEMBLE,4/6,HIGH,83.3,0,1,0,0.446,1.0,0.25,0.203,FEW_CITES,,
P092,1,0.7901,ENSEMBLE,5/6,HIGH,83.3,0,0,0,0.428,0.833,0.0,0.03,FEW_CITES|NO_FIGS,,
P093,1,0.8393,ENSEMBLE,5/6,HIGH,83.3,2,1,1,0.384,0.667,1.0,0.097,FEW_CITES,,
P094,0,0.1669,BELOW_THRESH,2/6,HIGH,83.3,0,0,1,0.228,0.667,0.0,0.293,FEW_CITES|NO_FIGS,,
P095,1,0.9425,ENSEMBLE,6/6,HIGH,83.3,2,4,0,0.69,0.667,1.0,0.15,FEW_CITES,,
P096,0,0.0778,BELOW_THRESH,1/6,HIGH,83.3,0,0,0,0.357,0.5,0.0,0.367,FEW_CITES|NO_FIGS,,
P097,0,0.2061,BELOW_THRESH,2/6,MED,83.3,0,0,1,0.332,1.0,0.0,0.387,FEW_CITES|NO_FIGS,,
P098,0,0.198,BELOW_THRESH,2/6,MED,100.0,0,0,0,0.356,0.5,0.0,0.643,FEW_CITES|NO_FIGS,,
P099,1,0.8651,ENSEMBLE,5/6,HIGH,83.3,0,0,0,0.469,0.833,0.0,0.04,FEW_CITES|NO_FIGS,,
P100,0,0.1951,BELOW_THRESH,2/6,MED,83.3,0,0,0,0.465,0.833,0.0,0.823,FEW_CITES|NO_FIGS,,
P101,1,0.7172,ENSEMBLE,5/6,HIGH,66.7,0,2,0,0.299,0.833,0.0,0.017,FEW_CITES,,
P102,1,0.8919,ENSEMBLE,5/6,HIGH,66.7,0,16,0,0.589,1.0,0.333,0.377,FEW_CITES,,
P103,1,0.7656,ENSEMBLE,5/6,HIGH,83.3,0,0,0,0.37,0.833,1.0,0.073,FEW_CITES|NO_FIGS,,
P104,1,0.7538,ENSEMBLE,5/6,HIGH,83.3,1,0,0,0.573,1.0,0.0,0.617,FEW_CITES|NO_FIGS,,
P105,0,0.1593,BELOW_THRESH,2/6,HIGH,83.3,0,0,0,0.399,0.833,0.0,0.54,FEW_CITES|NO_FIGS,,
P106,0,0.3136,BELOW_THRESH,2/6,LOW⚠,83.3,0,0,0,0.327,0.833,0.0,0.097,FEW_CITES|NO_FIGS|UNCERTAIN,0.2339,0.7284
P107,0,0.1973,BELOW_THRESH,1/6,MED,100.0,0,0,0,0.555,0.833,0.0,0.223,FEW_CITES|NO_FIGS,,
P108,0,0.4973,HARD_VETO,3/6,MED,66.7,0,0,0,0.218,0.5,0.0,0.097,FEW_CITES|NO_FIGS|SHORT,,
P109,1,0.8222,ENSEMBLE,5/6,HIGH,83.3,0,0,1,0.37,0.667,0.0,0.12,FEW_CITES|NO_FIGS,,
P110,0,0.4439,GATE_BLOCKED,3/6,LOW⚠,66.7,0,0,0,0.324,0.5,0.0,0.31,FEW_CITES|NO_FIGS|UNCERTAIN,0.2973,0.6938
P111,1,0.9053,ENSEMBLE,5/6,HIGH,83.3,2,36,1,0.552,0.833,1.0,0.197,FEW_CITES,,
P112,1,0.7478,ENSEMBLE,5/6,HIGH,83.3,0,0,0,0.387,0.833,0.0,0.033,FEW_CITES|NO_FIGS,,
P113,1,0.6426,ENSEMBLE,4/6,HIGH,83.3,0,0,0,0.338,0.667,0.0,0.267,FEW_CITES|NO_FIGS,,
P114,0,0.5043,GATE_BLOCKED,3/6,MED,83.3,0,0,0,0.246,0.5,0.0,0.03,FEW_CITES|NO_FIGS,,
P115,1,0.9351,ENSEMBLE,6/6,HIGH,83.3,24,7,0,0.702,0.667,1.0,0.307,,,
P116,1,0.9234,ENSEMBLE,6/6,HIGH,83.3,3,0,0,0.534,0.833,0.0,0.06,FEW_CITES|NO_FIGS,,
P117,1,0.954,ENSEMBLE,6/6,HIGH,83.3,9,6,1,0.665,0.833,0.333,0.007,,,
P118,1,0.8361,ENSEMBLE,5/6,HIGH,83.3,0,8,1,0.504,1.0,0.0,0.09,FEW_CITES,,
P119,0,0.1487,BELOW_THRESH,2/6,HIGH,83.3,0,0,0,0.393,0.5,1.0,1.0,FEW_CITES|NO_FIGS,,
P120,1,0.845,ENSEMBLE,6/6,HIGH,83.3,0,0,1,0.249,0.667,0.0,0.083,FEW_CITES|NO_FIGS,,
P121,1,0.8664,ENSEMBLE,5/6,HIGH,66.7,11,0,0,0.605,0.833,0.0,0.16,NO_FIGS,,
P122,1,0.8321,ENSEMBLE,5/6,HIGH,83.3,0,0,2,0.319,1.0,0.0,0.09,FEW_CITES|NO_FIGS|WEAK_PHRASES,,
P123,1,0.9171,ENSEMBLE,5/6,HIGH,83.3,15,4,1,0.737,0.833,0.385,0.18,,,
P124,0,0.3558,BELOW_THRESH,3/6,LOW⚠,100.0,0,0,0,0.432,0.833,0.0,0.313,FEW_CITES|NO_FIGS|UNCERTAIN,0.2474,0.716
P125,1,0.7142,ENSEMBLE,4/6,HIGH,66.7,0,10,0,0.583,1.0,0.0,0.147,FEW_CITES,,
P126,1,0.9365,ENSEMBLE,6/6,HIGH,83.3,7,0,0,0.624,0.667,0.0,0.087,NO_FIGS,,
P127,0,0.4377,HARD_VETO,3/6,LOW⚠,83.3,0,0,0,0.216,0.5,0.0,0.173,FEW_CITES|NO_FIGS|SHORT|UNCERTAIN,0.3964,0.7497
P128,1,0.8806,ENSEMBLE,5/6,HIGH,83.3,1,3,0,0.578,1.0,0.75,0.023,FEW_CITES,,
P129,0,0.2278,BELOW_THRESH,2/6,MED,83.3,0,0,1,0.309,0.667,0.0,0.663,FEW_CITES|NO_FIGS,,
P130,0,0.2276,BELOW_THRESH,2/6,MED,100.0,0,0,0,0.345,0.667,0.0,0.07,FEW_CITES|NO_FIGS,,
P131,1,0.7735,ENSEMBLE,4/6,HIGH,66.7,1,0,0,0.253,0.833,1.0,0.093,FEW_CITES|NO_FIGS|SHORT,,
P132,0,0.4227,GATE_BLOCKED,2/6,LOW⚠,83.3,0,0,0,0.316,0.833,0.0,0.02,FEW_CITES|NO_FIGS|UNCERTAIN,0.2139,0.6769
P133,1,0.8761,ENSEMBLE,5/6,HIGH,83.3,1,5,1,0.484,1.0,1.0,0.177,FEW_CITES,,
P134,0,0.1428,BELOW_THRESH,2/6,HIGH,83.3,0,0,0,0.368,0.5,0.0,0.65,FEW_CITES|NO_FIGS,,
P135,1,0.8906,ENSEMBLE,5/6,HIGH,83.3,0,0,1,0.398,0.833,0.0,0.253,FEW_CITES|NO_FIGS,,
