Paper ID,Publishable,Blended_Score,BiLSTM_Score,SciBERT_Score,Classical_Score,Decision_Path,Votes,Confidence,Citations,Figures,Composite_Score,Flags
P116,1,0.5655,0.5419,0.3866,0.8537,DL_ENSEMBLE,2/3,LOW⚠,3,0,0.534,FEW_CITES|NO_FIGS
P117,1,0.5862,0.5416,0.4173,0.8939,DL_ENSEMBLE,2/3,MED,9,6,0.665,
P118,1,0.5296,0.5413,0.3804,0.7199,DL_ENSEMBLE,2/3,LOW⚠,0,8,0.504,FEW_CITES
P119,0,0.4287,0.5326,0.5615,0.0767,BELOW_THRESH,2/3,LOW⚠,0,0,0.393,FEW_CITES|NO_FIGS
P120,1,0.5574,0.5398,0.378,0.8365,DL_ENSEMBLE,2/3,LOW⚠,0,0,0.249,FEW_CITES|NO_FIGS
P121,1,0.5835,0.5429,0.412,0.8885,DL_ENSEMBLE,2/3,MED,11,0,0.605,NO_FIGS
P122,1,0.5886,0.5413,0.4176,0.9034,DL_ENSEMBLE,2/3,MED,0,0,0.319,FEW_CITES|NO_FIGS|WEAK_PHRASES
P123,1,0.5799,0.5436,0.3799,0.9182,DL_ENSEMBLE,2/3,MED,15,4,0.737,
P124,0,0.4616,0.5386,0.4868,0.3033,BELOW_THRESH,1/3,LOW⚠,0,0,0.432,FEW_CITES|NO_FIGS
P125,1,0.5689,0.5429,0.4039,0.8414,DL_ENSEMBLE,2/3,LOW⚠,0,10,0.583,FEW_CITES
P126,1,0.5802,0.543,0.4292,0.8511,DL_ENSEMBLE,2/3,MED,7,0,0.624,NO_FIGS
P127,0,0.4504,0.5409,0.3917,0.3878,HARD_VETO,1/3,LOW⚠,0,0,0.216,FEW_CITES|NO_FIGS|SHORT
P128,1,0.573,0.5378,0.3839,0.8942,DL_ENSEMBLE,2/3,MED,1,3,0.578,FEW_CITES
P129,0,0.444,0.5303,0.5681,0.1321,BELOW_THRESH,2/3,LOW⚠,0,0,0.309,FEW_CITES|NO_FIGS
P130,0,0.4352,0.5345,0.512,0.1689,BELOW_THRESH,2/3,LOW⚠,0,0,0.345,FEW_CITES|NO_FIGS
P131,1,0.5051,0.5404,0.3813,0.6221,DL_ENSEMBLE,2/3,LOW⚠,1,0,0.253,FEW_CITES|NO_FIGS|SHORT
P132,0,0.4487,0.5366,0.4439,0.3148,BELOW_THRESH,1/3,LOW⚠,0,0,0.316,FEW_CITES|NO_FIGS
P133,1,0.5726,0.5406,0.3855,0.8859,DL_ENSEMBLE,2/3,MED,1,5,0.484,FEW_CITES
P134,0,0.4399,0.529,0.5929,0.083,BELOW_THRESH,2/3,LOW⚠,0,0,0.368,FEW_CITES|NO_FIGS
P135,1,0.5923,0.5437,0.4334,0.8923,DL_ENSEMBLE,2/3,MED,0,0,0.398,FEW_CITES|NO_FIGS
