Paper ID,Publishable,Confidence,Rationale,Key Issues,Strengths
P097,0,low,Could not evaluate paper.,Evaluation failed after retries,
P098,0,low,Could not evaluate paper.,Evaluation failed after retries,
P099,0,low,Could not evaluate paper.,Evaluation failed after retries,
P100,0,low,Could not evaluate paper.,Evaluation failed after retries,
P101,0,low,Could not evaluate paper.,Evaluation failed after retries,
P102,0,low,Could not evaluate paper.,Evaluation failed after retries,
P103,0,low,Could not evaluate paper.,Evaluation failed after retries,
P104,0,low,Could not evaluate paper.,Evaluation failed after retries,
P105,0,low,Could not evaluate paper.,Evaluation failed after retries,
P106,0,low,Could not evaluate paper.,Evaluation failed after retries,
P107,0,low,Could not evaluate paper.,Evaluation failed after retries,
P108,0,low,Could not evaluate paper.,Evaluation failed after retries,
P109,0,low,Could not evaluate paper.,Evaluation failed after retries,
P110,0,low,Could not evaluate paper.,Evaluation failed after retries,
P111,0,low,Could not evaluate paper.,Evaluation failed after retries,
P112,0,low,Could not evaluate paper.,Evaluation failed after retries,
P113,0,low,Could not evaluate paper.,Evaluation failed after retries,
P114,0,low,Could not evaluate paper.,Evaluation failed after retries,
P115,0,low,Could not evaluate paper.,Evaluation failed after retries,
P116,0,low,Could not evaluate paper.,Evaluation failed after retries,
P117,0,low,Could not evaluate paper.,Evaluation failed after retries,
P118,0,low,Could not evaluate paper.,Evaluation failed after retries,
P119,0,low,Could not evaluate paper.,Evaluation failed after retries,
P120,0,low,Could not evaluate paper.,Evaluation failed after retries,
P121,0,low,Could not evaluate paper.,Evaluation failed after retries,
P122,0,low,Could not evaluate paper.,Evaluation failed after retries,
P123,0,low,Could not evaluate paper.,Evaluation failed after retries,
P124,0,low,Could not evaluate paper.,Evaluation failed after retries,
P125,0,low,Could not evaluate paper.,Evaluation failed after retries,
P126,0,low,Could not evaluate paper.,Evaluation failed after retries,
P127,0,low,Could not evaluate paper.,Evaluation failed after retries,
P128,0,low,Could not evaluate paper.,Evaluation failed after retries,
P129,0,low,Could not evaluate paper.,Evaluation failed after retries,
P130,0,low,Could not evaluate paper.,Evaluation failed after retries,
P131,0,low,Could not evaluate paper.,Evaluation failed after retries,
P132,0,low,Could not evaluate paper.,Evaluation failed after retries,
P133,0,low,Could not evaluate paper.,Evaluation failed after retries,
P134,0,low,Could not evaluate paper.,Evaluation failed after retries,
P135,0,low,Could not evaluate paper.,Evaluation failed after retries,
